primary_cluster	secondary_cluster	Domain	Phylum	Class	Order	Family	Genus	Species
148	148_4	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
164	164_4	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910587705
62	62_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	QXXE01	QXXE01 sp910589115
14	14_1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp910587915
58	58_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC136627	MGBC136627 sp910585935
122	122_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp000403335
156	156_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	Pelethomonas sp022804995
149	149_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022794495
15	15_1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp009775265
78	78_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910574715
NA	NA	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella arabinosiphila
107	107_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp009774655
47	47_1	Bacteria	Bacillota_A	Clostridia	Christensenellales	Pumilibacteraceae	Pumilibacter	Pumilibacter sp022791915
142	142_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp011959105
71	71_0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910580015
158	158_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	Pelethomonas sp910587785
129	129_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	1XD8-76 sp910573755
119	119_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910589105
114	114_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG4284	RGIG4284 sp910576205
109	109_0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor muris
60	60_1	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia cocleata
148	148_7	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
144	144_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAJFPI01	
43	43_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecivivens	Faecivivens sp022793675
139	139_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910584235
40	40_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	VSOB01	VSOB01 sp910589075
168	168_0	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910589315
96	96_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910574345
101	101_0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910575445
126	126_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC164599	MGBC164599 sp910575625
148	148_3	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
162	162_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910575815
159	159_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	Pelethomonas sp910579965
32	32_1	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia caecimuris
67	67_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp009911505
111	111_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp003612395
170	170_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp022795575
145	145_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910577805
